11:26:56.102 [INFO]  [Preparing] Diffblue Cover 2023.12.02-e4c4274-licensed
11:26:56.103 [INFO]  [Preparing] Running: dcover create --preflight
11:26:56.104 [INFO]  [Preparing] 
11:26:56.104 [INFO]  [Preparing] Command: create
11:26:56.107 [INFO]  [Preparing] Create tests for the specified package/class/method prefix.
11:26:56.109 [INFO]  [Preparing] 
11:26:59.245 [INFO]  [Checking] Maven Using ${maven.home} of: C:\Program Files\apache-maven-3.9.4.
11:26:59.250 [INFO]  [Checking] Maven Executing: cmd.exe /X /C ""C:\Program Files\apache-maven-3.9.4\bin\mvn.cmd" -B -version"
11:26:59.692 [INFO]  [Checking] Standard output of build tool (Maven)
11:26:59.692 [INFO]  [Checking] > Apache Maven 3.9.4 (dfbb324ad4a7c8fb0bf182e6d91b0ae20e3d2dd9)
11:26:59.692 [INFO]  [Checking] > Maven home: C:\Program Files\apache-maven-3.9.4
11:26:59.692 [INFO]  [Checking] > Java version: 21.0.1, vendor: Oracle Corporation, runtime: C:\Program Files\Java\jdk-21.0.1
11:26:59.692 [INFO]  [Checking] > Default locale: en_IN, platform encoding: UTF-8
11:26:59.692 [INFO]  [Checking] > OS name: "windows 10", version: "10.0", arch: "amd64", family: "windows"
11:26:59.755 [INFO]  [Checking] Maven Using ${maven.home} of: C:\Program Files\apache-maven-3.9.4.
11:26:59.759 [INFO]  [Checking] Maven Executing: cmd.exe /X /C ""C:\Program Files\apache-maven-3.9.4\bin\mvn.cmd" -B -D output=diffblue.effective-pom.output.xml -D checkstyle.skip=true -D mdep.outputFile=diffblue-cp.txt -D mdep.pathSeparator=#SEP# -D includeScope=test -D spring-javaformat.skip=true -D license.skip=true -D maven.compiler.failOnError=false -D mdep.outputProperty=build.classpath -D maven.ext.class.path=C:\Users\Soham.P\Downloads\diffblue-cover-cli-2023.12.02\cover-buildsystem-maven-spy-jar-with-dependencies.jar -D spotless.check.skip=true test-compile -am"
11:27:02.859 [INFO]  [Checking] Standard output of build tool (Maven)
11:27:02.859 [INFO]  [Checking] > [INFO] Scanning for projects...
11:27:02.859 [INFO]  [Checking] > [INFO] 
11:27:02.859 [INFO]  [Checking] > [INFO] ------------------< org.example:simplejavacalculator >------------------
11:27:02.860 [INFO]  [Checking] > [INFO] Building simplejavacalculator 1.0-SNAPSHOT
11:27:02.860 [INFO]  [Checking] > [INFO]   from pom.xml
11:27:02.860 [INFO]  [Checking] > [INFO] --------------------------------[ jar ]---------------------------------
11:27:02.860 [INFO]  [Checking] > [INFO] 
11:27:02.860 [INFO]  [Checking] > [INFO] --- resources:3.3.1:resources (default-resources) @ simplejavacalculator ---
